https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CVC,Volume USDT,tradecount
1620518400000,2021-05-09 00:00:00,CVC/USDT,0.60564,0.62348,0.56001,0.58599,39597216,23161724.99749,86562
1620432000000,2021-05-08 00:00:00,CVC/USDT,0.59525,0.68752,0.58742,0.60571,81806545,52265620.78295,168167
1620345600000,2021-05-07 00:00:00,CVC/USDT,0.58191,0.64637,0.55851,0.59540,54789337,33284841.24407,132873
1620259200000,2021-05-06 00:00:00,CVC/USDT,0.57997,0.60834,0.55358,0.58206,42019400,24280298.17646,100812
1620172800000,2021-05-05 00:00:00,CVC/USDT,0.52880,0.58255,0.52277,0.57997,31861386,17822309.61733,75145
1620086400000,2021-05-04 00:00:00,CVC/USDT,0.58392,0.58498,0.51487,0.52888,39810727,21900934.27693,86975
1620000000000,2021-05-03 00:00:00,CVC/USDT,0.56792,0.64639,0.55880,0.58362,80036367,48024446.54269,157235
1619913600000,2021-05-02 00:00:00,CVC/USDT,0.53685,0.57281,0.50392,0.56755,33967455,18207382.13050,82828
1619827200000,2021-05-01 00:00:00,CVC/USDT,0.52999,0.55563,0.51833,0.53678,29214432,15746703.74754,74969
1619740800000,2021-04-30 00:00:00,CVC/USDT,0.51535,0.53584,0.49355,0.52942,19733375,10152541.44113,55488
1619654400000,2021-04-29 00:00:00,CVC/USDT,0.52089,0.52927,0.48166,0.51545,25685108,13101486.51010,67358
1619568000000,2021-04-28 00:00:00,CVC/USDT,0.54777,0.55509,0.49034,0.52098,28180698,14587972.95494,67686
1619481600000,2021-04-27 00:00:00,CVC/USDT,0.52201,0.54862,0.50823,0.54795,39631719,20911934.15823,90419
1619395200000,2021-04-26 00:00:00,CVC/USDT,0.42766,0.54500,0.42220,0.52206,92635756,47085772.29309,167071
1619308800000,2021-04-25 00:00:00,CVC/USDT,0.41609,0.46389,0.40076,0.42753,40714081,17687718.05676,94377
1619222400000,2021-04-24 00:00:00,CVC/USDT,0.46015,0.46091,0.41212,0.41596,34653653,15121204.40610,91077
1619136000000,2021-04-23 00:00:00,CVC/USDT,0.46576,0.48623,0.35766,0.46032,90651569,37693780.21653,160104
1619049600000,2021-04-22 00:00:00,CVC/USDT,0.54227,0.55788,0.46371,0.46558,53895961,27967505.44644,130877
1618963200000,2021-04-21 00:00:00,CVC/USDT,0.58777,0.58832,0.53792,0.54240,48206141,27128256.28658,130508
1618876800000,2021-04-20 00:00:00,CVC/USDT,0.51515,0.62967,0.47029,0.58778,135415297,76702907.02913,290845
1618790400000,2021-04-19 00:00:00,CVC/USDT,0.56682,0.61590,0.49868,0.51504,57037841,31609674.41661,130491
1618704000000,2021-04-18 00:00:00,CVC/USDT,0.64721,0.65206,0.40142,0.56702,93750987,50722898.36643,192988
1618617600000,2021-04-17 00:00:00,CVC/USDT,0.66191,0.69100,0.63236,0.64662,53336393,35406682.15995,135114
1618531200000,2021-04-16 00:00:00,CVC/USDT,0.72041,0.72346,0.63067,0.66192,49699049,33243789.55934,131981
1618444800000,2021-04-15 00:00:00,CVC/USDT,0.65984,0.72883,0.64538,0.71998,65012838,44947882.64763,164135
1618358400000,2021-04-14 00:00:00,CVC/USDT,0.70517,0.70696,0.62051,0.65978,53024093,35133495.65479,134951
1618272000000,2021-04-13 00:00:00,CVC/USDT,0.64552,0.70600,0.61161,0.70588,56667160,37136730.30421,135297
1618185600000,2021-04-12 00:00:00,CVC/USDT,0.65772,0.67439,0.61474,0.64550,60750114,38561537.65423,134547
1618099200000,2021-04-11 00:00:00,CVC/USDT,0.59517,0.66279,0.55468,0.65684,84870843,51816215.22190,145212
1618012800000,2021-04-10 00:00:00,CVC/USDT,0.59547,0.63700,0.57500,0.59493,50138686,30455907.19429,106806
1617926400000,2021-04-09 00:00:00,CVC/USDT,0.58371,0.61299,0.56256,0.59519,41920008,24619573.82897,84383
1617840000000,2021-04-08 00:00:00,CVC/USDT,0.53575,0.58778,0.53091,0.58387,40644863,22779931.04576,91084
1617753600000,2021-04-07 00:00:00,CVC/USDT,0.60610,0.60757,0.49325,0.53575,104413900,56511542.37388,187302
1617667200000,2021-04-06 00:00:00,CVC/USDT,0.61305,0.62718,0.57185,0.60605,93433132,56574538.93730,180452
1617580800000,2021-04-05 00:00:00,CVC/USDT,0.63138,0.67769,0.60259,0.61315,81267999,52137591.71707,159323
1617494400000,2021-04-04 00:00:00,CVC/USDT,0.60220,0.63534,0.59163,0.63103,59603437,36876437.62845,133425
1617408000000,2021-04-03 00:00:00,CVC/USDT,0.68798,0.70127,0.59814,0.60233,161660469,103797263.64082,299419
1617321600000,2021-04-02 00:00:00,CVC/USDT,0.53375,0.78000,0.51629,0.68804,354865484,242692219.92157,639583
1617235200000,2021-04-01 00:00:00,CVC/USDT,0.56354,0.57273,0.52519,0.53325,74518251,40558201.44158,137532
1617148800000,2021-03-31 00:00:00,CVC/USDT,0.50970,0.57043,0.45773,0.56280,105879566,54605656.82143,193577
1617062400000,2021-03-30 00:00:00,CVC/USDT,0.49461,0.54575,0.48166,0.50919,65194520,33108257.91892,118554
1616976000000,2021-03-29 00:00:00,CVC/USDT,0.48828,0.50064,0.46062,0.49451,53904318,26023899.24717,101584
1616889600000,2021-03-28 00:00:00,CVC/USDT,0.45795,0.50306,0.44013,0.48740,77712730,37066400.90236,127206
1616803200000,2021-03-27 00:00:00,CVC/USDT,0.43974,0.46268,0.42608,0.45795,68882820,30619821.40358,105265
1616716800000,2021-03-26 00:00:00,CVC/USDT,0.40901,0.44190,0.40734,0.43939,46294365,19721583.01010,83830
