https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1628726400000,2021-08-12 00:00:00,AAVE/USDT,402.62000000,417.92000000,375.93000000,392.17000000,140282.89850000,55653757.91529900,163664
1628640000000,2021-08-11 00:00:00,AAVE/USDT,383.99000000,420.00000000,382.60000000,402.42000000,202514.70590000,82492607.50860600,255007
1628553600000,2021-08-10 00:00:00,AAVE/USDT,374.02000000,400.00000000,367.86000000,384.14000000,168365.75130000,64753883.08116400,202519
1628467200000,2021-08-09 00:00:00,AAVE/USDT,360.82000000,384.86000000,347.36000000,374.01000000,141330.96130000,52228161.59904800,152714
1628380800000,2021-08-08 00:00:00,AAVE/USDT,385.12000000,389.45000000,352.00000000,360.72000000,123004.40700000,45681191.21073300,125461
1628294400000,2021-08-07 00:00:00,AAVE/USDT,369.76000000,400.02000000,365.10000000,385.07000000,201211.63160000,76759978.80515000,279063
1628208000000,2021-08-06 00:00:00,AAVE/USDT,372.97000000,379.48000000,356.95000000,369.60000000,175602.38330000,64646978.01601500,163306
1628121600000,2021-08-05 00:00:00,AAVE/USDT,339.01000000,383.00000000,336.87000000,372.78000000,381289.32820000,137264631.10597800,459655
1628035200000,2021-08-04 00:00:00,AAVE/USDT,308.49000000,343.00000000,300.26000000,339.02000000,162734.42320000,52520612.01708800,175910
1627948800000,2021-08-03 00:00:00,AAVE/USDT,320.32000000,324.04000000,301.97000000,308.74000000,113981.44500000,35319962.11965600,87510
1627862400000,2021-08-02 00:00:00,AAVE/USDT,316.38000000,329.02000000,309.01000000,320.40000000,113543.72480000,36347154.85973500,102966
1627776000000,2021-08-01 00:00:00,AAVE/USDT,331.11000000,339.59000000,313.51000000,316.38000000,152042.08040000,50057603.13138700,163308
1627689600000,2021-07-31 00:00:00,AAVE/USDT,320.39000000,333.00000000,312.69000000,331.10000000,129435.47440000,41475499.95359700,129362
1627603200000,2021-07-30 00:00:00,AAVE/USDT,312.00000000,323.85000000,300.00000000,320.49000000,178825.66180000,55873978.49019700,142413
1627516800000,2021-07-29 00:00:00,AAVE/USDT,298.04000000,315.75000000,292.41000000,312.00000000,164845.90960000,50283555.02565400,120218
