https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1622073600000,2021-05-27 00:00:00,MKR/USDT,3965.10,3982.60,3575.20,3724.70,36182.538,135697059.88040,223115
1621987200000,2021-05-26 00:00:00,MKR/USDT,3863.80,4042.50,3664.20,3964.90,50159.211,193815553.54720,270077
1621900800000,2021-05-25 00:00:00,MKR/USDT,4190.50,4347.00,3292.50,3864.80,71469.286,267708741.76222,414021
1621814400000,2021-05-24 00:00:00,MKR/USDT,2709.30,4270.00,2701.40,4188.80,116539.670,409184177.30864,835944
1621728000000,2021-05-23 00:00:00,MKR/USDT,2767.20,2884.30,1812.70,2709.00,86071.646,198379941.89842,496386
1621641600000,2021-05-22 00:00:00,MKR/USDT,3118.30,3218.10,2541.40,2766.90,55737.984,158027065.64824,319951
1621555200000,2021-05-21 00:00:00,MKR/USDT,3936.30,4184.90,2710.40,3118.50,61619.752,219387762.89852,331164
1621468800000,2021-05-20 00:00:00,MKR/USDT,3468.30,4218.80,3023.50,3936.30,68193.317,255345109.09696,381068
1621382400000,2021-05-19 00:00:00,MKR/USDT,4653.70,4746.20,2191.80,3470.00,84082.420,326276882.16462,482240
1621296000000,2021-05-18 00:00:00,MKR/USDT,4255.10,5047.00,4201.90,4654.30,49745.252,236377159.73920,343691
1621209600000,2021-05-17 00:00:00,MKR/USDT,4546.60,4788.50,4137.90,4256.00,52241.094,232584976.56363,327311
1621123200000,2021-05-16 00:00:00,MKR/USDT,4601.30,4932.20,4202.30,4548.90,39035.620,180154496.95190,232449
1621036800000,2021-05-15 00:00:00,MKR/USDT,5005.10,5144.20,4578.50,4602.40,42743.008,207288912.47378,222587
1620950400000,2021-05-14 00:00:00,MKR/USDT,4772.30,5355.30,4723.30,5002.00,40786.340,204179165.33852,231205
1620864000000,2021-05-13 00:00:00,MKR/USDT,4942.60,5317.10,4440.30,4772.30,67175.210,325775469.70626,427055
