https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1631232000000,2021-09-10 00:00:00,ICP/USDT,60.82000000,63.08000000,54.29000000,56.91000000,2637847.42000000,154337456.82580000,321207
1631145600000,2021-09-09 00:00:00,ICP/USDT,61.49000000,64.63000000,58.67000000,60.82000000,2950122.07000000,182444346.89800000,355376
1631059200000,2021-09-08 00:00:00,ICP/USDT,61.23000000,63.86000000,55.50000000,61.58000000,3401162.34000000,203684644.54510000,352813
1630972800000,2021-09-07 00:00:00,ICP/USDT,79.52000000,81.31000000,55.00000000,61.23000000,6261944.62000000,418982010.01330000,722665
1630886400000,2021-09-06 00:00:00,ICP/USDT,79.30000000,87.00000000,75.78000000,79.55000000,4082261.55000000,333065620.31600000,605487
1630800000000,2021-09-05 00:00:00,ICP/USDT,78.27000000,83.61000000,76.02000000,79.33000000,5154431.66000000,409263279.28020000,783505
1630713600000,2021-09-04 00:00:00,ICP/USDT,65.85000000,79.00000000,65.40000000,78.30000000,4383135.94000000,314056834.36020000,716020
1630627200000,2021-09-03 00:00:00,ICP/USDT,64.57000000,68.56000000,63.15000000,65.82000000,2062915.19000000,136144665.29580000,233080
1630540800000,2021-09-02 00:00:00,ICP/USDT,66.25000000,68.91000000,64.29000000,64.58000000,2150659.27000000,143038530.06100000,254233
1630454400000,2021-09-01 00:00:00,ICP/USDT,62.79000000,66.46000000,60.51000000,66.24000000,2226574.30000000,143036837.89490000,241565
1630368000000,2021-08-31 00:00:00,ICP/USDT,64.75000000,67.80000000,61.84000000,62.78000000,2958933.76000000,191697536.27660000,319230
1630281600000,2021-08-30 00:00:00,ICP/USDT,72.04000000,73.17000000,63.61000000,64.73000000,4208025.05000000,287653395.33050000,466494
1630195200000,2021-08-29 00:00:00,ICP/USDT,65.10000000,74.80000000,61.52000000,72.00000000,4740028.97000000,324837598.55640000,600408
1630108800000,2021-08-28 00:00:00,ICP/USDT,62.73000000,68.64000000,61.75000000,65.08000000,3246411.13000000,214564311.01780000,413562
1630022400000,2021-08-27 00:00:00,ICP/USDT,56.51000000,63.60000000,54.50000000,62.70000000,2790034.75000000,164707723.93020000,316334
1629936000000,2021-08-26 00:00:00,ICP/USDT,62.18000000,63.20000000,56.01000000,56.45000000,2388830.12000000,139960163.86840000,247013
1629849600000,2021-08-25 00:00:00,ICP/USDT,59.22000000,63.80000000,55.85000000,62.18000000,2217825.28000000,133595139.94390000,218539
1629763200000,2021-08-24 00:00:00,ICP/USDT,65.63000000,66.90000000,57.55000000,59.23000000,1837048.65000000,114180114.82840000,201650
1629676800000,2021-08-23 00:00:00,ICP/USDT,64.59000000,67.62000000,63.35000000,65.62000000,1638778.66000000,107263161.09870000,183556
1629590400000,2021-08-22 00:00:00,ICP/USDT,64.62000000,67.00000000,61.09000000,64.59000000,1371646.25000000,88236509.99400000,154497
1629504000000,2021-08-21 00:00:00,ICP/USDT,67.91000000,69.42000000,63.80000000,64.58000000,1848095.15000000,122715488.98050000,245727
1629417600000,2021-08-20 00:00:00,ICP/USDT,67.13000000,71.00000000,65.68000000,67.91000000,2833802.04000000,192046492.20290000,360418
1629331200000,2021-08-19 00:00:00,ICP/USDT,58.53000000,69.08000000,57.74000000,67.15000000,4652427.94000000,300757677.05660000,523079
1629244800000,2021-08-18 00:00:00,ICP/USDT,56.11000000,61.53000000,54.10000000,58.53000000,2646746.85000000,153603705.19690000,257400
