https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USDT,tradecount
1629590400000,2021-08-22 00:00:00,LRC/USDT,0.35102000,0.61000000,0.35029000,0.54985000,511000120.10000000,256023435.95545400,645331
1629504000000,2021-08-21 00:00:00,LRC/USDT,0.35327000,0.36612000,0.34181000,0.35098000,41083564.30000000,14593123.54354500,51850
1629417600000,2021-08-20 00:00:00,LRC/USDT,0.32828000,0.35890000,0.32512000,0.35282000,40003499.20000000,13861201.33868400,50365
1629331200000,2021-08-19 00:00:00,LRC/USDT,0.31451000,0.32899000,0.30544000,0.32822000,27553651.60000000,8748637.38047200,29280
1629244800000,2021-08-18 00:00:00,LRC/USDT,0.31409000,0.33548000,0.29574000,0.31451000,36230670.20000000,11430150.57492000,35267
1629158400000,2021-08-17 00:00:00,LRC/USDT,0.34447000,0.34897000,0.30716000,0.31449000,34638648.60000000,11579234.36266200,36960
1629072000000,2021-08-16 00:00:00,LRC/USDT,0.32598000,0.37023000,0.32284000,0.34428000,63107586.70000000,21847903.69897200,60973
1628985600000,2021-08-15 00:00:00,LRC/USDT,0.32738000,0.32958000,0.31094000,0.32585000,22120523.40000000,7049126.41765500,21400
1628899200000,2021-08-14 00:00:00,LRC/USDT,0.33750000,0.34098000,0.31332000,0.32734000,25964152.20000000,8458073.35930200,29747
1628812800000,2021-08-13 00:00:00,LRC/USDT,0.28543000,0.34285000,0.28283000,0.33750000,61643320.60000000,19881710.59623300,58330
1628726400000,2021-08-12 00:00:00,LRC/USDT,0.29612000,0.30464000,0.27585000,0.28548000,27136380.80000000,7844457.45200200,23614
1628640000000,2021-08-11 00:00:00,LRC/USDT,0.29168000,0.30948000,0.28778000,0.29612000,26561236.30000000,8001602.08051200,26797
1628553600000,2021-08-10 00:00:00,LRC/USDT,0.28637000,0.29678000,0.28000000,0.29200000,31674804.30000000,9134350.90328000,26507
1628467200000,2021-08-09 00:00:00,LRC/USDT,0.26079000,0.29670000,0.25321000,0.28608000,41593846.20000000,11563838.47688800,39138
1628380800000,2021-08-08 00:00:00,LRC/USDT,0.28131000,0.28666000,0.25918000,0.26061000,24025279.20000000,6557255.40192800,22880
1628294400000,2021-08-07 00:00:00,LRC/USDT,0.26534000,0.28822000,0.26184000,0.28126000,38071279.20000000,10545731.06991900,37012
1628208000000,2021-08-06 00:00:00,LRC/USDT,0.25673000,0.26997000,0.24810000,0.26507000,23653689.90000000,6137858.81013500,20352
1628121600000,2021-08-05 00:00:00,LRC/USDT,0.25251000,0.26200000,0.24514000,0.25653000,20410476.50000000,5204847.77203600,19017
1628035200000,2021-08-04 00:00:00,LRC/USDT,0.24130000,0.25920000,0.23796000,0.25202000,14288451.30000000,3552473.36050300,15729
1627948800000,2021-08-03 00:00:00,LRC/USDT,0.25259000,0.25600000,0.23845000,0.24108000,11272815.70000000,2759164.40241800,13069
1627862400000,2021-08-02 00:00:00,LRC/USDT,0.25003000,0.25959000,0.24266000,0.25257000,14738340.80000000,3697409.83505500,17020
1627776000000,2021-08-01 00:00:00,LRC/USDT,0.25171000,0.26990000,0.24828000,0.24988000,23023119.80000000,6007360.83177200,26327
1627689600000,2021-07-31 00:00:00,LRC/USDT,0.24733000,0.26500000,0.24406000,0.25173000,17502760.60000000,4455209.75056300,19562
1627603200000,2021-07-30 00:00:00,LRC/USDT,0.23993000,0.25000000,0.23206000,0.24729000,15173524.00000000,3673613.31009500,16447
1627516800000,2021-07-29 00:00:00,LRC/USDT,0.23334000,0.24249000,0.22713000,0.23980000,11631400.10000000,2753976.72230300,13984
1627430400000,2021-07-28 00:00:00,LRC/USDT,0.22912000,0.23971000,0.22290000,0.23339000,17656692.30000000,4087782.47291200,18901
