https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SC,Volume USDT,tradecount
1626912000000,2021-07-22 00:00:00,SC/USDT,0.01064100,0.01083600,0.01037100,0.01082400,469248370.00000000,4978751.28270500,19975
1626825600000,2021-07-21 00:00:00,SC/USDT,0.00976300,0.01099900,0.00953500,0.01063600,756373576.00000000,7785703.42358600,32665
1626739200000,2021-07-20 00:00:00,SC/USDT,0.01067000,0.01085200,0.00930000,0.00977200,591462361.00000000,5823233.43053400,26242
1626652800000,2021-07-19 00:00:00,SC/USDT,0.01122300,0.01171100,0.01053200,0.01065600,464725245.00000000,5148754.56486500,24751
1626566400000,2021-07-18 00:00:00,SC/USDT,0.01098700,0.01150800,0.01090500,0.01121800,257693717.00000000,2877188.86674000,12756
1626480000000,2021-07-17 00:00:00,SC/USDT,0.01078900,0.01116000,0.01052000,0.01098600,373846995.00000000,4043533.73774500,16032
1626393600000,2021-07-16 00:00:00,SC/USDT,0.01134100,0.01163200,0.01062200,0.01079800,351003885.00000000,3911135.81859600,16960
1626307200000,2021-07-15 00:00:00,SC/USDT,0.01180000,0.01216800,0.01099800,0.01136900,421125466.00000000,4899354.82543700,22998
1626220800000,2021-07-14 00:00:00,SC/USDT,0.01216600,0.01231500,0.01109400,0.01180000,428884547.00000000,5002743.56351200,23638
1626134400000,2021-07-13 00:00:00,SC/USDT,0.01265400,0.01290700,0.01194600,0.01216600,271748408.00000000,3388645.92408600,13515
1626048000000,2021-07-12 00:00:00,SC/USDT,0.01301600,0.01304800,0.01236800,0.01265300,235980683.00000000,2998863.83771400,12538
1625961600000,2021-07-11 00:00:00,SC/USDT,0.01280200,0.01320800,0.01247400,0.01298900,231743888.00000000,2973592.65978700,11812
1625875200000,2021-07-10 00:00:00,SC/USDT,0.01323300,0.01341600,0.01250000,0.01280900,213242462.00000000,2753171.49114600,12417
1625788800000,2021-07-09 00:00:00,SC/USDT,0.01338500,0.01341000,0.01244800,0.01323300,354239161.00000000,4580401.59800300,20859
1625702400000,2021-07-08 00:00:00,SC/USDT,0.01418600,0.01499300,0.01289100,0.01340300,687529911.00000000,9523034.13994100,38133
1625616000000,2021-07-07 00:00:00,SC/USDT,0.01392200,0.01500000,0.01357200,0.01418600,653776903.00000000,9315583.39960900,34788
1625529600000,2021-07-06 00:00:00,SC/USDT,0.01343600,0.01419500,0.01319000,0.01392200,557088897.00000000,7585205.72132900,25483
1625443200000,2021-07-05 00:00:00,SC/USDT,0.01397100,0.01399900,0.01292900,0.01342000,521198243.00000000,7007410.37381100,25294
