https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1627948800000,2021-08-03 00:00:00,FIL/USDT,54.43000000,55.08000000,52.72000000,54.29000000,1576484.82540000,84989989.56422700,155575
1627862400000,2021-08-02 00:00:00,FIL/USDT,53.85000000,56.01000000,53.08000000,54.43000000,1863404.60880000,101780209.98969200,179352
1627776000000,2021-08-01 00:00:00,FIL/USDT,52.01000000,58.35000000,51.56000000,53.85000000,4839961.94890000,270302106.28366900,401715
1627689600000,2021-07-31 00:00:00,FIL/USDT,51.32000000,52.83000000,50.34000000,52.02000000,1764912.17640000,90832212.34575000,148897
1627603200000,2021-07-30 00:00:00,FIL/USDT,49.37000000,51.37000000,48.63000000,51.32000000,1436700.97070000,71467807.15065400,130608
1627516800000,2021-07-29 00:00:00,FIL/USDT,49.56000000,49.79000000,48.50000000,49.37000000,999009.93220000,49091900.33123800,95512
1627430400000,2021-07-28 00:00:00,FIL/USDT,49.54000000,50.94000000,48.30000000,49.57000000,2159340.35970000,107433061.74662900,177248
1627344000000,2021-07-27 00:00:00,FIL/USDT,49.02000000,49.91000000,47.29000000,49.54000000,1784019.64090000,86575194.78662900,185853
1627257600000,2021-07-26 00:00:00,FIL/USDT,49.01000000,52.97000000,48.76000000,49.02000000,4189824.76750000,213766508.85144800,355584
1627171200000,2021-07-25 00:00:00,FIL/USDT,49.59000000,50.14000000,47.15000000,49.01000000,1960127.15900000,95226048.03768100,178427
1627084800000,2021-07-24 00:00:00,FIL/USDT,47.37000000,51.34000000,46.37000000,49.58000000,2530698.44320000,122625010.55111100,221731
1626998400000,2021-07-23 00:00:00,FIL/USDT,45.57000000,47.51000000,44.89000000,47.37000000,1296532.59060000,59973248.33721000,134328
1626912000000,2021-07-22 00:00:00,FIL/USDT,46.25000000,46.99000000,44.53000000,45.58000000,1164340.89590000,53015860.48561500,116003
1626825600000,2021-07-21 00:00:00,FIL/USDT,41.24000000,47.86000000,40.08000000,46.24000000,2153384.27850000,96082661.83248300,214146
1626739200000,2021-07-20 00:00:00,FIL/USDT,44.72000000,45.17000000,41.00000000,41.23000000,1602636.21750000,68263737.23419900,155510
1626652800000,2021-07-19 00:00:00,FIL/USDT,46.82000000,47.16000000,44.36000000,44.71000000,954857.64250000,43734232.87952300,87400
1626566400000,2021-07-18 00:00:00,FIL/USDT,45.62000000,47.47000000,45.55000000,46.83000000,1053811.86200000,49215792.74808300,75883
1626480000000,2021-07-17 00:00:00,FIL/USDT,45.82000000,46.18000000,45.12000000,45.62000000,890656.27260000,40632356.48759800,70067
1626393600000,2021-07-16 00:00:00,FIL/USDT,47.32000000,48.36000000,45.77000000,45.82000000,992668.95480000,46626350.39567500,89381
1626307200000,2021-07-15 00:00:00,FIL/USDT,49.68000000,50.35000000,46.20000000,47.32000000,1250561.10230000,60142171.16223000,114229
1626220800000,2021-07-14 00:00:00,FIL/USDT,50.97000000,51.24000000,48.10000000,49.68000000,1201652.47690000,59629794.69845500,118328
1626134400000,2021-07-13 00:00:00,FIL/USDT,52.47000000,53.05000000,50.38000000,50.98000000,1047433.33310000,54377892.60020100,106654
1626048000000,2021-07-12 00:00:00,FIL/USDT,55.11000000,55.49000000,52.20000000,52.48000000,787505.48700000,42488410.90394500,86122
1625961600000,2021-07-11 00:00:00,FIL/USDT,54.22000000,55.80000000,53.92000000,55.12000000,484171.09200000,26505337.86770000,55242
1625875200000,2021-07-10 00:00:00,FIL/USDT,55.26000000,56.03000000,53.55000000,54.25000000,669931.57900000,36680590.87749400,70613
1625788800000,2021-07-09 00:00:00,FIL/USDT,53.86000000,55.56000000,52.71000000,55.26000000,851839.55360000,46277287.39931800,92464
1625702400000,2021-07-08 00:00:00,FIL/USDT,56.42000000,56.51000000,52.79000000,53.85000000,1320214.88670000,72992582.06653200,126276
1625616000000,2021-07-07 00:00:00,FIL/USDT,57.01000000,58.04000000,56.32000000,56.42000000,869871.89580000,49918014.13551800,93034
1625529600000,2021-07-06 00:00:00,FIL/USDT,56.08000000,58.33000000,55.98000000,57.01000000,1175663.18750000,67050351.43390000,126176
1625443200000,2021-07-05 00:00:00,FIL/USDT,58.72000000,58.72000000,54.77000000,56.06000000,1319253.41420000,75091281.41781200,148144
1625356800000,2021-07-04 00:00:00,FIL/USDT,58.92000000,60.63000000,58.01000000,58.72000000,1018822.33840000,60506215.02608600,112574
1625270400000,2021-07-03 00:00:00,FIL/USDT,57.17000000,59.98000000,56.63000000,58.92000000,1238571.52940000,72423345.07282000,127617
1625184000000,2021-07-02 00:00:00,FIL/USDT,56.65000000,57.41000000,54.94000000,57.19000000,1314268.32620000,73737838.91029200,153293
1625097600000,2021-07-01 00:00:00,FIL/USDT,60.40000000,60.45000000,55.20000000,56.65000000,2019639.41590000,115370658.26591100,233241
1625011200000,2021-06-30 00:00:00,FIL/USDT,64.59000000,65.39000000,56.40000000,60.40000000,3555416.42210000,215603247.23360300,390562
1624924800000,2021-06-29 00:00:00,FIL/USDT,56.45000000,66.31000000,56.10000000,64.59000000,3394748.92520000,204066444.16825500,341566
1624838400000,2021-06-28 00:00:00,FIL/USDT,56.19000000,57.94000000,54.88000000,56.44000000,2325097.62800000,131152013.98283100,203247
1624752000000,2021-06-27 00:00:00,FIL/USDT,53.04000000,56.52000000,52.66000000,56.20000000,2000162.75980000,108405027.37674500,193674
1624665600000,2021-06-26 00:00:00,FIL/USDT,52.03000000,53.29000000,50.00000000,53.04000000,2132210.48160000,110519683.00396400,223382
